employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
4672,Mason,3,West Yas,1431,1300,0,0,169,0,131,0,0,0
4686,Mason,3,Ghadan 21 Quickwins Wave1 - P282,1300,1300,0,0,169,0,0,0,0,0
4689,HE Operator,4B,West Yas,0,0,0,0,0,0,0,0,0,0
4692,Mason,3,Ghadan 21 Quickwins Wave1 - P282,1150,1150,0,0,150,0,0,0,0,0
4710,Foreman,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
4713,Foreman,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
4748,Driver - Heavy,3,Grove,3150,2650,500,0,345,0,0,0,0,0
4802,Internal Audit Officer,5B,Internal Audit,0,0,0,0,0,0,0,0,0,0
4882,Sr. Site Engineer,6,Deira Waterfront Dev't - P272,0,0,0,0,0,0,0,0,0,0
4890,Sr. Mechanical Draftsman,5B,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
4918,Public Relations Officer,5A,Public Relations,0,0,0,0,0,0,0,0,0,0
4938,Driver - Heavy,3,Transportation,2462,1328,0,0,0,250,0,0,884,0
4939,Mason,3,West Yas,1600,960,0,0,0,0,0,0,640,0
4952,Project Coordinator,5B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
4970,Accountant,5B,Finance,0,0,0,0,0,0,0,0,0,0
4982,Safety Officer,5B,West Yas,0,0,0,0,0,0,0,0,0,0
4997,"Director, Operations",9B,Operations,0,0,0,0,0,0,0,0,0,0
5005,Head of Contracts,8A,Contracts,0,0,0,0,0,0,0,0,0,0
5053,DCC Staff,4A,Grove,0,0,0,0,0,0,0,0,0,0
5077,Sr. Architect Engineer,6,Design,0,0,0,0,0,0,0,0,0,0
5092,Construction Manager,7B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5096,DCC Staff,4A,DCC,0,0,0,0,0,0,0,0,0,0
5104,Sr. Quantity Surveyor,6,Quantity Surveying,0,0,0,0,0,0,0,0,0,0
5111,Driver - Light,3,Finance,4384,2631,1000,0,0,0,0,0,753,0
5116,DCC Staff,4A,Estimation,0,0,0,0,0,0,0,0,0,0
5117,MEP Supervisor,5B,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5143,Financial Controller,7A,Finance,0,0,0,0,0,0,0,0,0,0
5147,DCC Staff,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
5152,Executive Secretary,5B,Operations,0,0,0,0,0,0,0,0,0,0
5172,Site Supervisor,5B,Grove,0,0,0,0,0,0,0,0,0,0
5178,Civil Engineer,5A,Estimation,0,0,0,0,0,0,0,0,0,0
5179,Civil Engineer,5A,Quantity Surveying,0,0,0,0,0,0,0,0,0,0
5181,Civil Engineer,5A,West Yas,0,0,0,0,0,0,0,0,0,0
5201,Secretary,4A,DCC,0,0,0,0,0,0,0,0,0,0
5207,Qty. Surveyor,5A,Quantity Surveying,0,0,0,0,0,0,0,0,0,0
5209,Surveyor,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5214,Sr. Project Engineer,6,Grove,0,0,0,0,0,0,0,0,0,0
5226,"Secretary, Site",4A,Grove,0,0,0,0,0,0,0,0,0,0
5238,Landscape Foreman,4A,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
5246,Public Relations Officer,5A,Public Relations,0,0,0,0,0,0,0,0,0,0
5256,Foreman,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5257,Sr. Autocad,5B,West Yas,0,0,0,0,0,0,0,0,0,0
5260,Civil Engineer,5A,Estimation,0,0,0,0,0,0,0,0,0,0
5263,Leadman,3,West Yas,1268,1268,0,0,172,0,0,0,0,0
5266,Planning Assistant,4B,West Yas,0,0,0,0,0,0,0,0,0,0
5269,Sr. Autocad,5B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5271,Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5299,Storekeeper,4B,Warehousing,0,0,0,0,0,0,0,0,0,0
5306,Diesel Mechanic,4B,Mechanic Workshop,0,0,0,0,0,0,0,0,0,0
5309,Accountant,5B,Finance,0,0,0,0,0,0,0,0,0,0
5310,Sr. HSE Engineer,6,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5312,Safety Officer,5B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5313,Sr. Planning Engineer,6,Planning,0,0,0,0,0,0,0,0,0,0
5314,Sr. Autocad,5B,West Yas,0,0,0,0,0,0,0,0,0,0
5324,Construction Manager,7B,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5328,QA/QC Inspector,5B,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5332,IT Assistant,4B,Information Technology,0,0,0,0,0,0,0,0,0,0
5333,DCC Staff,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5335,Safety Officer,5B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5336,Planner/Scheduler,5B,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5337,QA/QC Inspector,5B,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5339,Safety Officer,5B,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5340,QA/QC Inspector,5B,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5342,Administration Manager,7A,Administration,0,0,0,0,0,0,0,0,0,0
5344,Human Resources  Manager,7A,Human Resources,0,0,0,0,0,0,0,0,0,0
5348,QA/QC Engineer,5A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5351,IT Assistant,4B,Information Technology,0,0,0,0,0,0,0,0,0,0
5354,Project Manager,7A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5357,Autocad Operator,4A,West Yas,0,0,0,0,0,0,0,0,0,0
5358,Sr. Autocad,5B,West Yas,0,0,0,0,0,0,0,0,0,0
5359,Draftsman,4A,west Yas,0,0,0,0,0,0,0,0,0,0
5360,Architect Engineer,5A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5362,Commercial Coordinator,5B,Contracts,0,0,0,0,0,0,0,0,0,0
5363,Architect Engineer,5A,West Yas,0,0,0,0,0,0,0,0,0,0
5364,Site Engineer,5A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
