employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
825,Plumber,3,Grove,1400,1200,0,0,156,0,44,2300,0,0
906,Plumber,3,Operations,1027.25,637,0,0,83,0,148,2000,0,0
918,Machine Operator,3,Operations,3455.145833,700,0,0,91,250,148,2000,0,0
919,Plumber,3,Operations,3312.825,978,0,0,127,0,0,2000,0,0
920,Machine Operator,3,Grove,3284.6875,900,0,0,117,0,83,2000,0,0
922,Machine Operator,3,Operations,3354,800,0,0,104,250,200,2000,0,0
925,Machine Operator,3,Operations,3222,800,0,0,104,0,148,2000,0,0
933,Machine Operator,3,Grove,991,700,0,0,91,0,200,2000,0,0
947,Leadman,3,Operations,1750,1327,0,0,173,250,0,2000,0,0
960,Plumber,3,Grove,1580,1000,0,0,130,250,200,2000,0,0
974,Security,3,Operations,1823.21875,950,0,0,124,0,200,2000,0,0
1000,Street Print Applicator,3,Operations,1344.73125,842,0,0,110,0,348,2000,0,0
1007,Surveyor Assistant,3,Operations,1507.145833,700,0,0,91,250,200,2000,0,0
1023,Security,3,Operations,1546.53125,975,0,0,127,0,150,2000,0,0
1091,Pump Operator,3,Wood Workshop,2750,1800,0,0,234,250,466,2300,0,0
1152,Carpenter,3,Wood Workshop,2550,1600,0,0,208,250,492,2300,0,0
1166,Office Assistant,3,Administration,4014.0625,2100,1000,200,0,200,0,2800,0,0
1172,Driver - Heavy,3,Operations,3854,2300,0,0,299,250,430,2000,0,0
1180,Driver - Heavy,3,Logistics Department,3690,2663,0,0,347,250,430,2000,0,0
1202,Mason,3,Grove,1330,1000,0,0,130,0,200,2300,0,0
1247,Machine Operator,3,Operations,1007,760,0,0,99,0,148,2000,0,0
1255,Machine Operator,3,Grove,1191,700,0,0,91,250,150,2000,0,0
1265,Leadman,3,Operations,1233.625,850,0,0,111,0,92,2000,0,0
1273,Machine Operator,3,Operations,1043.5,700,0,0,91,0,200,2000,0,0
1276,Labor,1,Operations,850,626,0,0,82,0,142,2000,0,0
1277,Machine Operator,3,Grove,939,700,0,0,91,0,148,2000,0,0
1279,Gardener,2,Grove,1256.25,900,0,0,117,0,183,2000,0,0
1282,Machine Operator,3,Grove,1059,760,0,0,99,0,200,2000,0,0
1288,Plumber,3,Operations,1400,1000,0,0,130,0,270,2000,0,0
1306,Office Boy,3,Operations,1313,1000,0,0,130,0,183,2000,0,0
1314,Gardener,2,Grove,1269.635417,754,0,0,98,250,148,2000,0,0
1318,Plumber,3,Operations,2020.239583,1150,0,0,150,250,148,2000,0,0
1330,Labor,1,Operations,1159,900,0,0,117,0,142,2000,0,0
1335,Office Boy,3,Operations,1893.875,1000,0,0,130,0,92,2000,0,0
1348,Carpenter,3,Wood Workshop,2750,1800,0,0,234,250,466,2300,0,0
1388,Plumber,3,Operations,2745,2000,0,0,260,250,235,2300,0,0
1404,Labor,1,Operations,1007,760,0,0,99,0,148,2000,0,0
1406,Leadman,3,Administration,2708.125,1000,1000,0,130,250,0,2000,0,0
1407,Labor,1,Operations,1221.25,885,0,0,115,0,0,2000,0,0
1412,Gardener,2,Operations,1521.5,1000,0,0,130,0,254,2000,0,0
1415,Leadman,3,Operations,2070,1500,0,0,195,0,0,2000,0,0
1428,Street Print Applicator,3,Operations,1942.6875,1100,0,0,143,0,270,2000,0,0
1431,Gardener,2,Operations,1345,900,0,0,117,0,103,2000,0,0
1439,Pipe Fitter,3,Grove,1400,1200,0,0,156,0,44,2000,0,0
1443,Plumber,3,Operations,2172.744792,1175,0,0,153,250,148,2000,0,0
1473,Plumber,3,Operations,991,700,0,0,91,0,200,2000,0,0
1475,Labor,1,Grove,963,700,0,0,91,0,172,2000,0,0
1478,Labor,1,Operations,1300,950,0,0,124,0,226,2000,0,0
1572,Machine Operator,3,Grove,2305.75,1200,0,0,156,0,131,2300,0,0
1578,Gardener,2,Grove,1814.0625,900,0,0,117,0,183,2300,0,0
1644,Machine Operator,3,Grove,2256.25,1200,0,0,156,0,44,2300,0,0
1780,Security,3,Grove,1478.947917,950,0,0,124,250,150,2000,0,0
1814,Labor,1,Grove,1694.961667,760,0,0,99,250,148,2000,0,0
1815,Labor,1,Grove,1257,760,0,0,99,250,148,2000,0,0
1816,Labor,1,Grove,1694.961667,760,0,0,99,250,148,2000,0,0
1819,Labor,1,Grove,1694.961667,760,0,0,99,250,148,2000,0,0
